sexo,nombre,apellidos,partido,tipo_de_eleccion,entidad,distrito,circunscripcion,telefono,extension,correo_electronico,twitter,comisiones,bio,suplente_nombre,suplente_apellido
F,María del Rocío,García Olmedo,Partido Revolucionario Institucional,Mayoría relativa,Puebla,13,,,,,@rgolmedo,,,Ana Rosa,Hernández Cantú
M,José Guadalupe,García Ramírez,Partido Acción Nacional,Mayoría relativa,Querétaro,4,,,,,,,,María Lilyana,Hernández Martínez
F,Verónica,García Reyes ,Partido de la Revolución Democrática,Representación proporcional,Michoacán,,5,,,,,,,Ricardo,Flores Suárez
F,Mariana Dunyaska ,García Rojas,Partido Acción Nacional,Representación proporcional,Veracruz,,3,,,,,,,Luis Fernando,Domínguez Martín del Campo
F,Lucila,Garfias Gutiérrez,Nueva Alianza,Representación proporcional,México,,5,,,,,,,Jesús María,Sena Buenrostro
F,Ana Lilia,Garza Cadena,Partido Verde Ecologista de México,Representación proporcional,Baja California,,1,,,,,,,Orlando Omar,Pérez Ortega
F,María Esther,Garza Moreno,Partido Revolucionario Institucional,Mayoría Relativa,Guanajuato,4,,,,,,,,Simón,Lomelí Cervantes
M,Marcelo,Garza Ruvalcaba ,Partido de la Revolución Democrática,Representación proporcional,Nuevo León,,2,,,,,,,Humberto,García Sosa
M,Juan Manuel ,Gastélum Buenrostro,Partido Acción Nacional,Mayoría Relativa,Baja California,5,,,,,@JmGastelumB ,,,Alejandro Martín,Palacios Ochoa
M,Gerardo,Gaudiano Rovirosa,Partido de la Revolución Democrática,Mayoría Relativa,Tabasco,4,,,,,@gerardogaudiano,,,Rafael,Reyes Montemayor
F,Celia Isabel,Gauna Ruíz de León,Partido Revolucionario Institucional,Mayoría relativa,Jalisco,12,,,,,@celiagauna,,,Carlos Humberto,González García
F,Blanca Esthela,Gómez Carmona,Partido Revolucionario Institucional,Mayoría relativa,México,23,,,,,@blancaegomez23,,,Adriana,Martínez Soto
M,Luis ,Gómez Gómez,Partido Revolucionario Institucional,Mayoría relativa,Chiapas,5,,,,,,,,Lucio,García Enríquez
M,Pedro ,Gómez Gómez,Partido Revolucionario Institucional,Mayoría relativa,Chiapas,2,,,,,,,,Alma Delia,Gómez Ignacio
M,Gabriel,Gómez Michel,Partido Revolucionario Institucional,Mayoría Relativa,Jalisco,18,,,,,,,,Leticia,González Yescas
M,Roy Argel,Gómez Olguín,Partido Revolucionario Institucional,Mayoría Relativa,Nayarit,2,,,,,,,,Sergio,Villalobos Marcial
F,Merilyn,Gómez Pozos,Movimiento Ciudadano,Representación proporcional,Jalisco,,1,,,,,,,Luz,Gómez Solano
M,Raúl,Gómez Ramírez,Partido Acción Nacional,Mayoría Relativa,Guanajuato,10,,,,,,,,María Luisa,Matus Fuentes
F,Amira Gricelda,Gómez Tueme,Partido Revolucionario Institucional,Representación proporcional,Tamaulipas,,2,,,,,,,Ricardo,Coronado Sangines
F,Lázara Nelly,González Aguilar,Partido Acción Nacional,Representación proporcional,Tamaulipas,,2,,,,,,,Eli Eduardo,Vazquez Ramírez
M,Rodrigo,González Barrios,Partido de la Revolución Democrática,Representación proporcional,Nayarit,,1,,,,,,,Jacinta,Aragón Ramírez
M,Valentín,González Bautista,Partido de la Revolución Democrática,Mayoría relativa,México,29,,,,,,,,Yuridia,Sánchez Soriano
F,Adriana,González Carrillo,Partido Acción Nacional,Representación proporcional,México,,5,,,,@AdriGlezCar,,,Yolanda,Segbe Sanen
F,Cristina,González Cruz,Partido Revolucionario Institucional,Mayoría relativa,México,39,,,,,@cristinaglez39,,,Abraham,Islas Pozos
M,Eligio Cuitláhuac,González Farías,Partido Revolucionario Institucional,Mayoría Relativa,Michoacán,8,,,,,,,,María del Carmen,Saavedra Fernández
F,Cecilia,González Gómez,Partido Revolucionario Institucional,Mayoría Relativa,Jalisco,3,,,,,,,,Lucía,Cruz Arroyo
M,Federico José,González Luna Bueno,Partido Verde Ecologista de México,Representación proporcional,Veracruz,,3,,,,,,,José Juan Trinidad,Morales Morales
F,Alfa Eliana,González Magallanes,Partido de la Revolución Democrática,Representación proporcional,Coahuila,,2,,,,,,,Jorge Alfonso,Ruiz Romero
M,Víctor Rafael ,González Manriquez,Partido Acción Nacional,Representación proporcional,Oaxaca,,3,,,,@VictorGoman,,,Arturo,Norato Jiménez
F,Irazema,González Martínez,Partido Revolucionario Institucional,Mayoría relativa,México,24,,,,,@Irazema_G,,,María Teresa,Ramos Cervantes
M,José,González Morfín,Partido Acción Nacional,Representación proporcional,Michoacán,,5,,,,,,,Genoveva,Huerta Villegas
M,Rafael,González Reséndiz,Partido Revolucionario Institucional,Mayoría Relativa,Jalisco,5,,,,,@rafaelgresendiz,,,Liliana,Castillo Terreros
M,Luis Antonio,González Roldán ,Nueva Alianza,Representación proporcional,México,,5,,,,@LuisRoldan_NA,,,Amparo,Acuña Figueroa
M,José Ángel ,González Serna,Partido Acción Nacional,Mayoría Relativa,Aguascalientes,3,,,,,,,,Irma,Solís Tepepa
M,Marco Antonio,González Valdez,Partido Revolucionario Institucional,Mayoría relativa,Nuevo León,9,,,,,@marcoprinl,,,Cutberto,Cantorán Espinoza
M,Francisco,González Vargas,Partido Revolucionario Institucional,Mayoría relativa,Hidalgo,7,,,,,@Paco_GlezV,,,Esther,Méndez Medel
M,Néstor Octavio,Gordillo Castillo,Partido Acción Nacional,Mayoría relativa,Puebla,12,,,,,@NestorGordillo,,,Irma,Martínez Vargas
M,Francisco,Grajales Palacios,Partido Revolucionario Institucional,Mayoría Relativa,Chiapas,7,,,,,@pacograjales,,,Ana María,Vega Fernández
F,Rosalba,Gualito Castañeda,Partido Revolucionario Institucional,Mayoría relativa,México,22,,,,,@RosalbaGualito,,,María Leticia,Bernal Rosales
M,Abel,Guerra Garza,Partido Revolucionario Institucional,Mayoría relativa,Nuevo León,3,,,,,@AbelGuerraG,,,Elda Yolanda,Hernández Salcido
F,Judith Magdalena,Guerrero López,Partido Verde Ecologista de México,Mayoría Relativa ,Zacatecas,3,,,,,,,,Claudia,Melgoza Juárez
M,Javier Filiberto,Guevara González,Partido Revolucionario Institucional,Mayoría relativa,Puebla,14,,,,,,,,Martín,de la Cruz Gómez
M,Samuel,Gurrión Matías,Partido Revolucionario Institucional,Mayoría relativa,Oaxaca,7,,,,,,,,Medina Díaz,Maritzza Aracely
M,Harvey ,Gutiérrez Álvarez,Partido Revolucionario Institucional,Mayoría Relativa,Chiapas,4,,,,,@HarveyGutierrez,,,Mildrett Karina,Verde Avendaño
M,Héctor Humberto,Gutiérrez de la Garza,Partido Revolucionario Institucional,Mayoría relativa,Nuevo León,5,,,,,@HectorHGutierre,,,Hermelinda,Martínez Martínez
F,Delfina Elizabeth,Guzmán Díaz,Partido de la Revolución Democrática,Mayoría relativa,Oaxaca,11,,,,,,,,María Estela,Moreno Alvarado
M,Martín Alonso,Heredia Lizárraga,Partido Acción Nacional,Mayoría relativa,Sinaloa,8,,,,,,,,José Luis,Martínez Meléndez
M,Gaudencio,Hernández Burgos,Partido Revolucionario Institucional,Mayoría relativa,Veracruz,5,,,,,@GauHernandez,,,Antolinne,Etieene Rivera
M,Noé,Hernández González,Partido Revolucionario Institucional,Mayoría relativa,Veracruz,14,,,,,@NoeHdez_2012,,,Jorge,Pérez Covarrubias
F,Adriana,Hernández Íñiguez,Partido Revolucionario Institucional,Mayoría Relativa,Michoacán,5,,,,,@Adriana_hi,,,José Luis,Contreras Rojo
F,Myrna Esmeralda,Hernández Morales,Partido Revolucionario Institucional,Mayoría relativa,Hidalgo,6,,,,,@mirnahermo,,,María Merced,León Andablo
M,Gerardo Xavier,Hernández Tapia,Partido Revolucionario Institucional,Mayoría relativa,México,40,,,,,@Gerardo_Hdez_T,,,Flor Esther,Gastélum Vértiz
M,Jorge,Herrera Delgado,Partido Revolucionario Institucional,Mayoría relativa,Durango,4,,,,,@jherreradelgado,,,Samira Guadalupe,Yamuni Robles
M,Gilberto Antonio ,Hirata Chico,Partido Revolucionario Institucional,Mayoría Relativa,Baja California,3,,,,,@gilbertohiratac,,,Fernando,Camacho Ochoa
M,Manuel Rafael ,Huerta Ladrón de Guevara,Partido del Trabajo,Mayoría Relativa,Distrito Federal,2,,,,,,,,José Elías,Muñoz Vega
F,María de Jesús,Huerta Rea,Partido Revolucionario Institucional,Representación proporcional,Nuevo León,,2,,,,@maryhuertarea,,,Norma Lucía,Ley Zevada
F,Zuleyma,Huidobro González ,Movimiento Ciudadano,Representación proporcional,Puebla,,4,,,,@ZuleymaHuidobro,,,Ana Alicia,Tiznado Lizárraga
M,José Antonio,Hurtado Gallegos,Movimiento Ciudadano,Mayoría Relativa,Distrito Federal,5,,,,,,,,Mirna,Velázquez López
M,Alfonso,Inzunza Montoya,Partido Revolucionario Institucional,Mayoría relativa,Sinaloa,3,,,,,@Ponchin_Inzunza,,,Refugio,Gastélum Rojo
M,Juan Marcos,Issa Salomón,Partido Revolucionario Institucional,Mayoría relativa,Coahuila,5,,,,,@salomonjm,,,Ana María,Gutiérrez Coronado
M,Jhonatan,Jardines Fraire,Partido de la Revolución Democrática,Mayoría relativa,Distrito Federal,6,,,,,,,,Maribel,Enríquez Ramírez
M,Hugo,Jarquín,Partido de la Revolución Democrática,Mayoría relativa,Oaxaca,8,,,,,@hugo_jarquin,,,Sandra Luz,Fimbres Escalantes
F,Blanca,Jiménez Castillo,Partido Acción Nacional,Mayoría relativa,Puebla,9,,,,,@BlancaJC,,,Blanca Aurora,Camacho Sosa
F,Raquel,Jiménez Cerillo,Partido Acción Nacional,Representación proporcional,Querétaro,,2,,,,,,,Lorena,Gutiérrez Landavazo
F,María Teresa,Jiménez Esquivel,Partido Acción Nacional,Mayoría relativa,Aguascalientes,2,,,,,@TereJimenezE ,,Politóloga y doctorante en Derecho.,Micaela,Rodríguez Zamora
M,Víctor Manuel,Jorrin Lozano,Movimiento Ciudadano,Mayoría Relativa ,Guerrero,4,,,,,@Vjorrin,,,Francisca Rosario,Arana Lugo
F,Verónica Beatriz,Juárez Piña,Partido de la Revolución Democrática,Representación proporcional,Jalisco,,1,,,,,,,Estela,Núñez Álvarez
M,Raymundo,King de la Rosa,Partido Revolucionario Institucional,Mayoría relativa,Quintana Roo,2,,,,,,,,Querubín,Sandoval Fernández
F,Karina,Labastida Sotelo,Partido Acción Nacional,Representación proporcional,México,,5,,,,,,,María Bárbara,López Castañeda
M,Fernando,Larrazábal Bretón,Partido Acción Nacional,Mayoría Relativa,Nuevo León,10,,,,,@FerLarrazabal,,,Christian Manuel,Narváez Romero
M,José Antonio,León Mendívil,Partido de la Revolución Democrática,Representación proporcional,Veracruz,,3,,,,,,,Edi,Olive López
F,Margarita,Licea González,Partido Acción Nacional,Representación proporcional,Jalisco,,1,,,,@MargaritaLicea,,Licenciatura y maestría en derecho. Fue abogada para varias empresas. ,Sebastián,Deya Becerril
M,Gerardo,Liceaga Arteaga,Partido Revolucionario Institucional,Mayoría relativa,México,2,,,,,@GerardoLiceaga,,,Verónica,Morales Huerta
M,José Alejandro,Llanas Alba,Partido Acción Nacional,Mayoría relativa,Tamaulipas,3,,,,,,,,Marisol,Santes Ramos
M,Jaime Chris,López Alvarado,Partido Revolucionario Institucional,Mayoría Relativa,Baja California,6,,,,,@ChrisLopezBC,,,Elida,Segura Sifuentes
M,José Arturo,López Cándido,Partido del Trabajo,Mayoría relativa,Distrito Federal,26,,,,,,,,Belén,Rosales Puente
M,José Martín,López Cisneros,Partido Acción Nacional,Mayoría relativa,Nuevo León,7,,,,,,,,Blanca Aurelia,Anzaldua Nájera
M,Roberto,López González,Partido de la Revolución Democrática,Representación proporcional,Jalisco,,1,,,,,,,Juana María,Sánchez Astello
F,Leticia,López Landero,Partido Acción Nacional,Mayoría relativa,Veracruz,16,,,,,@LetyLopez_2012,,,Lamberto,González de la Maza
M,Tomás,López Landero,Partido Revolucionario Institucional,Mayoría relativa,Veracruz,18,,,,,,,,Angélica,Morales Salazar
M,Raudel,López López,Partido Acción Nacional,Representación proporcional,Aguascalientes,,2,,,,,,,Maximino,Tapia Flores
F,Lourdes Adriana ,López Moreno,Partido Verde Ecologista de México,Mayoría Relativa,Chiapas,1,,,,,,,Abogada,Samuel Filiberto,Cortés Pérez
F,Alejandra,López Noriega,Partido Acción Nacional,Mayoría relativa,Sonora,3,,,,,@alejandralopesn,,,María del Carmen,Antonio Nicanor
M,Roberto,López Rosado ,Partido de la Revolución Democrática,Representación proporcional,Oaxaca,,3,,,,,,,,
M,Raciel,López Salazar,Partido Verde Ecologista de México,Representación proporcional,Chiapas,,3,,,,,,,José Roberto,Arenas Martínez
M,Roberto,López Suárez,Partido de la Revolución Democrática,Representación proporcional,Zacatecas,,2,,,,,,,Luis Hernán,Pasos Paredes
M,Javier,López Zavala,Partido Revolucionario Institucional,Representación proporcional,Puebla,,4,,,,@JavierLZavala,,,Michelle,Gustin Cárdenas
M,Julio César,Lorenzini Rangel,Partido Acción Nacional,Mayoría relativa,Puebla,10,,,,,,,,Mariela,Tovar Lorenzo
F,Patricia ,Lugo Barriga,Partido Acción Nacional,Representación proporcional,Colima,,5,,,,@Patricia_LugoB,,,Adelaida,Ramagnoli Cagnant
F,Roxana,Luna Porquillo ,Partido de la Revolución Democrática,Representación proporcional,Puebla,,4,,,,@RoxanaLunaP,,,Zazil,Reyes Contreras
M,Raúl,Macías Sandoval,Partido Revolucionario Institucional,Representación proporcional,México,,5,,,,,,,Ángel Abel,Mavil Soto
F,Arely,Madrid Tovilla,Partido Revolucionario Institucional,Representación proporcional,Chiapas,,3,,,,@Arely_Madrid,,,Francisco,Ceballos Capistrán
F,María Angélica,Magaña Zepeda,Partido Revolucionario Institucional,Mayoría Relativa,Jalisco,17,,,,,,,,Patricia Guadalupe,Peña Recio
M,Fernando Alfredo,Maldonado Hernández,Partido Revolucionario Institucional,Mayoría relativa,México,18,,,,,@FerMaldonadoDip,,,Damaris,Osorno Malpica
M,José Valentín,Maldonado Salgado,Partido de la Revolución Democrática,Mayoría Relativa,Distrito Federal,23,,,,,,,,Ramiro,Hernández Lozano
M,Víctor Manuel,Manríquez González ,Partido de la Revolución Democrática,Representación proporcional,Michoacán,,5,,,,,,,Gloria,Ochoa Rueda
M,José Sergio,Manzur Quiroga,Partido Revolucionario Institucional,Mayoría relativa,México,9,,,,,@Manzur_Jose,,,Juan Isidro,del Bosque Márquez
M,José Luis,Márquez Martínez,Partido Revolucionario Institucional,Mayoría relativa,Puebla,2,,,,,@ppmarquez12,,,María Cristina,Meneses García
F,Silvia,Márquez Velasco,Partido Revolucionario Institucional,Mayoría relativa,México,14,,,,,@SilviaMarquezVe,,,José Manuel,Díaz Rodríguez
F,Laura Ximena,Martel Cantú,Partido Verde Ecologista de México,Representación proporcional,Distrito Federal,,4,,,,,,,Adanery,Medina Guerrero
F,Esther Angélica,Martínez Cárdenas,Partido Revolucionario Institucional,Mayoría Relativa,San Luis Potosí,2,,,,,@EstherAngelicaM,,,María Teresa de Jesús,Moreno Gómez
M,Juan Luis,Martínez Martínez,Movimiento Ciudadano,Mayoría relativa,Oaxaca,2,,,,,,,,Blanca,López Domínguez
M,Andrés Eloy,Martínez Rojas,Partido de la Revolución Democrática,Mayoría relativa,Morelos,4,,,,,@eloycam2012,,,Isela,González Domínguez
F,María del Carmen,Martínez Santillán,Partido del Trabajo,Representación proporcional,Michoacán,,5,,,,,,,Mario Alberto,González González
F,Nuvia Magdalena,Mayorga Delgado,Partido Revolucionario Institucional,Representación proporcional,Hidalgo,,5,,,,@Nuvia_Mayorga,,,Lucia Guadalupe,Canto Lara
M,Marcos Rosendo,Medina Filigrana,Partido de la Revolución Democrática,Mayoría relativa,Tabasco,5,,,,,@Marcos_Rosendo,,,Carlos Manuel,Carrillo Paredes
F,Gabriela,Medrano Galindo,Partido Verde Ecologista de México,Representación proporcional,Quintana Roo,,3,,,,,,,Imelda Noemy,Pacheco González
M,Ricardo Sóstenes,Mejía Berdeja,Movimiento Ciudadano,Representación proporcional,Guerrero,,4,,,,@Ricardomeb,,,Alberto Leónides,Escamilla Cerón
F,Julisa,Mejía Guardado ,Partido de la Revolución Democrática,Representación proporcional,México,,5,,,,,,,Erica del Carmen,Velázquez Vacio
F,Angélica Rocío,Melchor Vásquez ,Partido de la Revolución Democrática,Representación proporcional,Oaxaca,,3,,,,,,,Pablo Manuel Alejandro,Torres Corpus
F,Lorena,Méndez Denis,Partido de la Revolución Democrática,Mayoría Relativa,Tabasco,3,,,,,@loremendezd ,,,Ana Marianela,Hernández Peña
M,Mario Rafael,Méndez Martínez,Partido de la Revolución Democrática,Mayoría relativa,Oaxaca,9,,,,,@MarioRafaelprd,,,Edna Olivia,Castañeda Guerra
F,María Leticia,Mendoza Curiel,Partido Revolucionario Institucional,Mayoría relativa,Jalisco,9,,,,,@siconlety,,,,
M,Jorge,Mendoza Garza,Partido Revolucionario Institucional,Representación proporcional,Nuevo León,,2,,,,,,,Norma Esther,Almeida García
F,Sonia Catalina,Mercado Gallegos,Partido Revolucionario Institucional,Mayoría relativa,Durango,1,,,,,@katy_mercado,,,,
F,María del Rosario,Merlín García,Partido de la Revolución Democrática,Mayoría relativa,Guerrero,9,,,,,@RosarioMerlin,,,,
M,Rafael Alejandro,Micalco Méndez,Partido Acción Nacional,Representación proporcional,Puebla,,4,,,,@rafamicalco,,,,
F,Martha Lucía ,Mícher Camarena,Partido de la Revolución Democrática,Mayoría Relativa,Distrito Federal,14,,,,,,,,,
F,Emilse,Miranda Munive,Partido Revolucionario Institucional,Mayoría relativa,Hidalgo,4,,,,,@EmilseMiranda1,,,,
M,Marino,Miranda Salgado,Partido de la Revolución Democrática,Mayoría relativa,Guerrero,2,,,,,@MarinoMiranda,,,,
F,María Guadalupe,Moctezuma Oviedo ,Partido de la Revolución Democrática,Representación proporcional,Veracruz,,3,,,,,,,,
F,Teresa de Jesús,Mojica Morga,Partido de la Revolución Democrática,Representación proporcional,Guerrero,,4,,,,,,,,
F,María Guadalupe ,Mondragón González,Partido Acción Nacional,Representación proporcional,México,,5,,,,@Lupita_Mondrag,,,Claudia Rocío,Villa Oñate
M,Ricardo,Monreal Ávila ,Movimiento Ciudadano,Representación proporcional,Distrito Federal,,4,,,,@RicardoMonrealA,,,,
M,Ramón,Montalvo Hernández ,Partido de la Revolución Democrática,Representación proporcional,México,,5,,,,,,,,
M,José Alejandro,Montano Guzmán,Partido Revolucionario Institucional,Mayoría relativa,Veracruz,8,,,,,@lejandromontano,,,,
M,Abraham,Montes Alvarado,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,5,,,,,@AbrahamMontesD5,,,,
M,Jesús,Morales Flores,Partido Revolucionario Institucional,Mayoría relativa,Puebla,7,,,,,,,,Elsa,Rodríguez García
M,Carlos Augusto,Morales López,Partido de la Revolución Democrática,Mayoría Relativa,Distrito Federal,4,,,,,@carlosaugusto24,,,Bernardeth,Ruiz Romero
M,Trinidad Secundino,Morales Vargas,Partido de la Revolución Democrática,Representación proporcional,Distrito Federal,,4,,,,@TrinidadMorale2,,,,
M,José Isidro,Moreno Árcega,Partido Revolucionario Institucional,Mayoría relativa,México,13,,,,,@ConIsidroMoreno,,,,
M,Rafael Alejandro,Moreno Cárdenas,Partido Revolucionario Institucional,Representación proporcional,Campeche,,3,,,,@alitomorenoc,,,María de los Ángeles,Ibarra Celaya
F,Pilar,Moreno Montoya,Partido Revolucionario Institucional,Mayoría Relativa,Aguascalientes,1,,,,,@Jpilarmoreno,,,,
M,Israel,Moreno Rivera,Partido de la Revolución Democrática,Mayoría Relativa,Distrito Federal,9,,,,,,,,,
M,Julio César,Moreno Rivera,Partido de la Revolución Democrática,Representación proporcional,Distrito Federal,,4,,,,,,,,
F,Tania Margarita ,Morgan Navarrete,Partido Acción Nacional,Representación proporcional,Sinaloa,,1,,,,@taniammorgan,,,,
F,Gisela Raquel,Mota Ocampo,Partido de la Revolución Democrática,Representación proporcional,Morelos,,4,,,,,,,,
F,Dulce María,Muñiz Martínez,Partido Revolucionario Institucional,Mayoría relativa,Hidalgo,2,,,,,@Dulce_Muniz,,,,
M,Felipe de Jesús,Muñoz Kapamas,Partido Revolucionario Institucional,Representación proporcional,Distrito Federal,,4,,,,,,,,
M,Juan Carlos ,Muñoz Márquez,Partido Acción Nacional,Representación proporcional,Guanajuato,,2,,,,@jcmunozmarquez,,,María Guadalupe,Orozco Rivera
M,José Luis,Muñoz Soria,Partido de la Revolución Democrática,Mayoría Relativa,Distrito Federal,12,,,,,,,,,
M,Luis Alfredo ,Murguía Lardizabal,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,4,,,,,@Luis_Murguia04,,,,
M,Jesús ,Murillo Karam,Partido Revolucionario Institucional,Representación proporcional,Hidalgo,,5,,,,,,,,
M,Víctor Reymundo,Nájera Medina,Partido de la Revolución Democrática,Mayoría relativa,Morelos,5,,,,,,,,,
M,Héctor ,Narcia Álvarez,Partido Verde Ecologista de México,Mayoría Relativa,Chiapas,10,,,,,@NarciaHector ,,,,
M,José Everardo,Nava Gómez,Partido Revolucionario Institucional,Mayoría Relativa,San Luis Potosí,1,,,,,,,,,
F,Joaquina,Navarrete Contreras,Partido de la Revolución Democrática,Mayoría relativa,México,20,,,,,@JoaquinaNC,,,,
F,Ma. Concepción,Navarrete Vital,Partido Revolucionario Institucional,Mayoría Relativa,Guanajuato,11,,,,,,,,Carlos Humberto,Castaños Valenzuela
M,César Reynaldo,Navarro de Alba,Partido Revolucionario Institucional,Mayoría relativa,México,12,,,,,@reynaldoixt12,,,,
M,Heberto ,Neblina Vega,Partido Acción Nacional,Representación proporcional,Sonora,,1,,,,,,,Vianey,Melendrez López
M,Ossiel Omar,Niáves López,Partido Revolucionario Institucional,Mayoría Relativa,Jalisco,15,,,,,,,,Raquel,Mota Rodríguez
M,Homero Ricardo,Niño de Rivera Vela,Partido Acción Nacional,Mayoría Relativa,Nuevo León,1,,,,,@HomeroNR,,,,
F,Yesenia,Nolasco Ramírez ,Partido de la Revolución Democrática,Representación proporcional,Distrito Federal,,4,,,,,,,,
M,Ernesto,Núñez Aguilar,Partido Verde Ecologista de México,Mayoría Relativa,Michoacán,10,,,,,,,,,
F,Magdalena del Socorro,Núñez Monreal ,Partido del Trabajo,Representación proporcional,Zacatecas,,2,,,,,,,Gisela Edith,Marín Delgado
F,Gloria Elizabeth,Núñez Sánchez,Partido Revolucionario Institucional,Mayoría Relativa,Nayarit,3,,,,,,,,,
M,Williams Oswaldo,Ochoa Gallegos,Partido Revolucionario Institucional,Mayoría Relativa,Chiapas,6,,,,,@WillyOchoaG,,,,
M,Arnoldo,Ochoa González,Partido Revolucionario Institucional,Representación proporcional,Colima,,5,,,,@ArnoldoOchoa_,,,,
M,Nabor,Ochoa López,Partido Verde Ecologista de México,Representación proporcional,Colima,,5,,,,,,,,
M,José Luis,Oliveros Usabiaga,Partido Acción Nacional,Mayoría Relativa,Guanajuato,14,,,,,@chelisoliveros,,,,
F,Cristina,Olvera Barrios ,Nueva Alianza,Representación proporcional,Distrito Federal,,4,,,,,,,,
M,Luis,Olvera Correa,Partido Revolucionario Institucional,Mayoría Relativa ,Michoacán,6,,,,,,,,María Lucrecia,Arzola Godínez
F,María del Carmen,Ordaz Martínez,Partido Revolucionario Institucional,Mayoría relativa,Yucatán,2,,,,,,,,,
M,Javier,Orihuela García,Partido Revolución Democrática,Mayoría relativa,Morelos,2,,,,,,,,Ana Sofía,Méndez Noriega
M,Adolfo,Orive Bellinger ,Partido del Trabajo,Representación proporcional,Distrito Federal,,4,,,,@Adolfo_OriveB,,,Abraham,Correa Acevedo
M,Javier,Orozco Gómez,Partido Verde Ecologista de México,Representación proporcional,México,,5,,,,,,,,
M,Marcelino,Orta Coronado,Partido Acción Nacional,Mayoría relativa,Tamaulipas,7,,,,,,,,,
F,Guadalupe Socorro,Ortega Pacheco,Partido Revolucionario Institucional,Representación proporcional,Yucatán,,3,,,,,,,Claudia Janneth,Gámez Gutiérrez
F,Loretta,Ortiz Ahlf,Partido del Trabajo,Representación proporcional,Distrito Federal,,4,,,,,,,,
M,Salvador,Ortíz García,Partido Revolucionario Institucional,Mayoría Relativa ,Michoacán,12,,,,,,,,,
F,María Isabel,Ortiz Mantilla,Partido Acción Nacional,Mayoría Relativa,Puebla,11,,,,,@marisa_o_m,,,Israel,Soto Peña
M,Máximo,Othón Zayas,Partido Acción Nacional,Mayoría relativa,Sonora,7,,,,,@MaximoOthon,,,,
M,J. Jesús ,Oviedo Herrera,Partido Acción Nacional,Mayoría Relativa,Guanajuato,13,,,,,@JesusOviedoH,,,,
M,Germán,Pacheco Díaz,Partido Acción Nacional,Mayoría relativa,Tamaulipas,8,,,,,,,,,
M,Ricardo Fidel,Pacheco Rodríguez,Partido Revolucionario Institucional,Representación proporcional,Durango,,1,,,,,,,Cindy Abril,Arvizu Hernández
M,Román Alfredo,Padilla Fierro,Partido Revolucionario Institucional,Mayoría relativa,Sinaloa,1,,,,,,,,,
M,Cesáreo,Padilla Navarro,Partido Revolucionario Institucional,Mayoría Relativa,Jalisco,1,,,,,,,,María Antonia,García Sanjines
F,Carla Alicia,Padilla Ramos,Partido Verde Ecologista de México,Representación proporcional,México,,5,,,,,,,,
F,Leslie,Pantoja Hernández,Partido Acción Nacional,Representación proporcional,Sonora,,1,,,,@lesliepantoja,,,,
F,María Del Rosario De Fátima ,Pariente Gavito,Partido Verde Ecologista de México,Mayoría Relativa,Chiapas,9,,,,,@RosarioPariente,,,,
M,Raúl,Paz Alonso,Partido Acción Nacional,Mayoría relativa,Yucatán,4,,,,,@RaulPaz_IV,,,Martha Miriam,Rodríguez Tiscareño
F,Zita Beatriz,Pazzi Maza,Partido Revolucionario Institucional,Mayoría relativa,Veracruz,1,,,,,@ZitaPazzi ,,,,
F,Flor de María ,Pedraza Aguilera,Partido Acción Nacional,Representación proporcional,Distrito Federal,,4,,,,@FlorPedraza,,,,
M,Francisco,Pelayo Covarrubias,Partido Acción Nacional,Mayoría Relativa,Baja California Sur,1,,,,,,,,Mayra,Moreno Benítez
M,Gerardo,Peña Avilés,Partido Acción Nacional,Mayoría relativa,Sinaloa,2,,,,,@GerardoElArquiP,,,,
M,Hugo Mauricio ,Pérez Anzueto,Partido Revolucionario Institucional,Mayoría Relativa,Chiapas,11,,,,,@AnzuetoDiputado ,,,Diana de Carmen,Vera Ávila
F,Carmen Lucia,Pérez Camarena,Partido Acción Nacional,Representación proporcional,Jalisco,,1,,,,@Lucyperez2012,,,,
M,José Noel,Pérez de Alba,Partido Revolucionario Institucional,Mayoría relativa,Jalisco,2,,,,,,,,,
F,Elvia María,Pérez Escalante,Partido Revolucionario Institucional,Representación proporcional,Campeche,,3,,,,,,,Ana Paola,López Birlain
F,Rosa Elba,Pérez Hernández,Partido Verde Ecologista de México,Mayoría Relativa,Guanajuato,6,,,,,,,,Rocío,Baca Bonifaz
M,David ,Pérez Tejada Padilla,Partido Verde Ecologista de México,Mayoría Relativa,Baja California,7,,,,,,,,,
F,Norma,Ponce Orozco,Partido Revolucionario Institucional,Mayoría relativa,México,16,,,,,@NormaPonceO,,,,
M,Pedro,Porras Pérez ,Partido de la Revolución Democrática,Representación proporcional,México,,5,,,,,,,Genaro,Rodríguez Teniente
M,Vicario,Portillo Martínez,Partido de la Revolución Democrática,Mayoría relativa,Guerrero,5,,,,,,,,Ofelia,Zumaya Ahumada
M,Domitilo,Posadas Hernández ,Partido de la Revolución Democrática,Representación proporcional,México,,5,,,,@domposadas,,,,
M,Humberto Armando,Prieto Herrera,Partido Acción Nacional,Mayoría relativa,Tamaulipas,2,,,,,@Betoprietoh,,,,
M,Eduardo Román,Quian Alcocer,Partido Revolucionario Institucional,Mayoría relativa,Quintana Roo,1,,,,,,,,,
